member_id,interest_rate_clean,emp_length,verification_status,issue_date,loan_status,purpose,total_pymnt,recoveries
72549555,21.99,5 years,Verified,01/12/2015,Current,debt_consolidation,0,0
8103659,18.85,5 years,Not Verified,01/08/2013,Charged Off,medical,1292.23,195.7
37557159,14.31,10+ years,Source Verified,01/11/2014,Current,debt_consolidation,9580.18,0
49940081,12.69,10+ years,Source Verified,01/04/2015,Current,debt_consolidation,3048.91,0
24666004,17.57,10+ years,Source Verified,01/07/2014,Current,debt_consolidation,10030.17,0
61636191,19.99,9 years,Verified,01/08/2015,Current,debt_consolidation,2107.88,0
5464740,24.7,8 years,Verified,01/04/2013,Charged Off,small_business,39296.4,2058.48
18303831,16.99,5 years,Source Verified,01/05/2014,Current,debt_consolidation,15645.93,0
67801715,14.65,10+ years,Verified,01/10/2015,Current,other,538.9,0
24634676,10.15,10+ years,Not Verified,01/07/2014,Current,debt_consolidation,4402.08,0
39930388,20.99,5 years,Source Verified,01/12/2014,Late (31-120 days),debt_consolidation,8495.01,0
71330300,9.17,1 year,Not Verified,01/12/2015,Current,debt_consolidation,0,0
59268856,5.32,10+ years,Not Verified,01/07/2015,Current,credit_card,1352.54,0
903738,11.11,10+ years,Source Verified,01/03/2011,Fully Paid,other,3436.33,0
1648054,11.14,6 years,Source Verified,01/07/2012,Fully Paid,debt_consolidation,17005.96877,0
65136354,17.86,10+ years,Not Verified,01/10/2015,Current,medical,1859.59,0
10118582,12.99,2 years,Source Verified,01/11/2013,Current,debt_consolidation,4817.65,0
64498052,12.29,10+ years,Source Verified,01/10/2015,Current,home_improvement,1689.42,0
54585511,17.57,10+ years,Verified,01/06/2015,Current,debt_consolidation,6130.11,0
56178972,9.99,1 year,Verified,01/07/2015,Current,credit_card,2113.15,0
52285236,14.65,< 1 year,Source Verified,01/05/2015,Fully Paid,debt_consolidation,10089.53,0
55337610,7.89,10+ years,Source Verified,01/06/2015,Current,debt_consolidation,1748.52,0
1695342,15.31,10+ years,Not Verified,01/08/2012,Fully Paid,debt_consolidation,16229.39,0
69668176,17.86,10+ years,Verified,01/11/2015,Current,credit_card,441.15,0
46291909,8.18,3 years,Verified,01/03/2015,Current,debt_consolidation,6081.53,0
44113890,7.89,5 years,Source Verified,01/03/2015,Current,home_improvement,3124.22,0
3982363,15.31,,Verified,01/02/2013,Charged Off,debt_consolidation,2505.96,0
5196902,14.33,< 1 year,Not Verified,01/04/2013,Fully Paid,home_improvement,21892.41994,0
46397055,16.55,,Verified,01/04/2015,Current,debt_consolidation,1573.87,0
14497729,9.67,3 years,Source Verified,01/02/2014,Fully Paid,debt_consolidation,8306.70095,0
54466388,21.99,3 years,Verified,01/06/2015,Current,debt_consolidation,3841.46,0
7197695,13.11,10+ years,Source Verified,01/06/2013,Fully Paid,debt_consolidation,34273.20782,0
14541268,24.5,10+ years,Source Verified,01/03/2014,Fully Paid,debt_consolidation,22715.22,0
38558674,8.67,10+ years,Not Verified,01/11/2014,Current,debt_consolidation,2434.19,0
64706947,8.18,< 1 year,Not Verified,01/09/2015,Current,debt_consolidation,525.97,0
25766153,14.99,9 years,Verified,01/08/2014,Charged Off,debt_consolidation,2930.34,0
69859606,9.99,10+ years,Source Verified,01/11/2015,Current,debt_consolidation,959.56,0
62564024,5.32,10+ years,Not Verified,01/08/2015,Current,credit_card,3356.33,0
42992417,10.49,10+ years,Not Verified,01/02/2015,Current,debt_consolidation,3589.44,0
860707,10.37,1 year,Source Verified,01/02/2011,Fully Paid,debt_consolidation,11176.49,0
67497942,18.55,3 years,Source Verified,01/11/2015,Current,debt_consolidation,565.27,0
45330822,13.33,9 years,Verified,01/03/2015,Current,debt_consolidation,6854.58,0
1638511,18.75,4 years,Not Verified,01/07/2012,Current,debt_consolidation,19089.78,0
31507293,18.99,10+ years,Verified,01/10/2014,Current,home_improvement,4659.3,0
8209365,11.99,7 years,Verified,01/09/2013,Fully Paid,debt_consolidation,15846.36,0
751605,13.98,6 years,Verified,01/09/2010,Fully Paid,home_improvement,34637.44534,0
6817583,22.7,10+ years,Source Verified,01/09/2013,Current,debt_consolidation,19611.88,0
65649735,16.99,3 years,Source Verified,01/10/2015,Current,credit_card,883.18,0
12996755,9.67,10+ years,Not Verified,01/01/2014,Current,credit_card,5908.7,0
5007525,17.77,6 years,Source Verified,01/04/2013,Current,debt_consolidation,35672.76,0
63119497,12.29,10+ years,Verified,01/08/2015,Current,home_improvement,528.22,0
1790814,13.11,7 years,Verified,01/09/2012,Fully Paid,debt_consolidation,7354.701369,0
46386560,11.53,10+ years,Not Verified,01/03/2015,Current,debt_consolidation,3306.05,0
21318657,12.99,7 years,Source Verified,01/06/2014,Current,credit_card,8065.31,0
1863051,16.29,6 years,Verified,01/10/2012,Fully Paid,debt_consolidation,15278.78,0
1497165,21.48,< 1 year,Verified,01/05/2012,Fully Paid,debt_consolidation,19974.41124,0
1551587,13.99,10+ years,Verified,01/06/2012,Current,debt_consolidation,17492.93,0
69919449,10.99,2 years,Source Verified,01/11/2015,Current,credit_card,1297.15,0
64782480,9.99,9 years,Not Verified,01/10/2015,Current,debt_consolidation,1263.45,0
26427479,11.67,10+ years,Verified,01/08/2014,Current,debt_consolidation,11309.76,0
11647183,19.22,10+ years,Source Verified,01/12/2013,Fully Paid,other,25789.38,0
31446774,12.49,4 years,Source Verified,01/10/2014,Fully Paid,credit_card,10542.79,0
1886876,15.31,9 years,Verified,01/10/2012,Fully Paid,debt_consolidation,17116.38,0
43052753,17.86,6 years,Verified,01/02/2015,Current,home_improvement,9428.96,0
59073152,9.99,3 years,Not Verified,01/07/2015,Current,credit_card,926.5,0
14317552,12.99,2 years,Not Verified,01/02/2014,Fully Paid,debt_consolidation,11218.64,0
43202553,6.49,6 years,Not Verified,01/01/2015,Current,debt_consolidation,3367.34,0
16761516,15.61,5 years,Verified,01/04/2014,In Grace Period,debt_consolidation,6835.8,0
54138712,13.33,10+ years,Not Verified,01/06/2015,In Grace Period,home_improvement,1015.36,0
57975404,5.32,8 years,Verified,01/07/2015,Current,debt_consolidation,3756.96,0
969968,10.99,3 years,Source Verified,01/05/2011,Current,car,3578.46,0
70699250,6.24,1 year,Source Verified,01/12/2015,Current,credit_card,1014.48,0
59055514,14.65,7 years,Not Verified,01/07/2015,Current,home_improvement,2520.22,0
46993886,6.68,8 years,Not Verified,01/04/2015,Current,credit_card,5001.82,0
70326217,13.67,10+ years,Verified,01/12/2015,Current,credit_card,541.28,0
6992549,22.47,,Verified,01/06/2013,Current,other,10367.59,0
68810027,5.32,10+ years,Not Verified,01/11/2015,Current,debt_consolidation,551.53,0
59572784,17.86,10+ years,Verified,01/07/2015,Current,debt_consolidation,524.85,0
41358639,17.14,10+ years,Verified,01/01/2015,Current,credit_card,4098.84,0
13206823,10.99,2 years,Verified,01/01/2014,Fully Paid,debt_consolidation,18064.77,0
5517118,18.75,7 years,Not Verified,01/05/2013,Charged Off,other,8800.37,0
7097582,17.27,1 year,Not Verified,01/06/2013,Fully Paid,debt_consolidation,19456.99466,0
58639751,12.69,5 years,Not Verified,01/07/2015,Current,debt_consolidation,1145.16,0
708575,11.12,10+ years,Verified,01/07/2010,Charged Off,debt_consolidation,4102.86,51.47
16350619,21.99,9 years,Source Verified,01/04/2014,Current,debt_consolidation,11626.65,0
56308397,9.99,2 years,Source Verified,01/06/2015,Current,debt_consolidation,4632.48,0
34923494,14.49,10+ years,Source Verified,01/10/2014,Current,debt_consolidation,2401.21,0
10117531,9.99,10+ years,Source Verified,01/10/2013,Current,debt_consolidation,8384.93,0
69322937,14.33,10+ years,Source Verified,01/11/2015,Current,debt_consolidation,521.32,0
67818935,17.57,10+ years,Verified,01/10/2015,Current,debt_consolidation,1387.97,0
1004205,15.23,4 years,Verified,01/07/2011,Fully Paid,major_purchase,22520.48,0
57884733,5.32,10+ years,Source Verified,01/07/2015,Fully Paid,debt_consolidation,20370.76,0
31656952,12.49,8 years,Source Verified,01/10/2014,Current,debt_consolidation,6734.02,0
18273754,16.29,10+ years,Source Verified,01/05/2014,Current,debt_consolidation,12236.4,0
8120714,13.68,10+ years,Verified,01/08/2013,Fully Paid,credit_card,19745.46312,0
7937890,16.78,9 years,Not Verified,01/08/2013,Charged Off,debt_consolidation,14853.48,0
67705961,18.25,10+ years,Verified,01/10/2015,Current,debt_consolidation,559.27,0
41231733,12.39,3 years,Verified,01/01/2015,Current,debt_consolidation,13968.25,0
743426,10.38,4 years,Verified,01/09/2010,Fully Paid,home_improvement,1235.28,0
7667359,9.71,10+ years,Verified,01/07/2013,Current,debt_consolidation,11563.13,0
70801461,9.76,10+ years,Not Verified,01/12/2015,Current,debt_consolidation,217.5,0
56168842,20.99,6 years,Source Verified,01/07/2015,Current,debt_consolidation,1933.49,0
18393748,20.2,2 years,Not Verified,01/05/2014,Current,debt_consolidation,7981.6,0
65430805,8.18,10+ years,Source Verified,01/10/2015,Current,debt_consolidation,675.42,0
49424055,6.92,10+ years,Not Verified,01/04/2015,Current,credit_card,6318.32,0
1820920,11.14,10+ years,Not Verified,01/10/2012,Fully Paid,credit_card,12547.78213,0
67576029,9.99,10+ years,Not Verified,01/10/2015,Current,debt_consolidation,1326.61,0
20857651,14.99,10+ years,Not Verified,01/06/2014,Current,home_improvement,2634.35,0
43966737,15.61,10+ years,Not Verified,01/02/2015,Current,debt_consolidation,2900.32,0
915249,12.68,< 1 year,Source Verified,01/04/2011,Fully Paid,debt_consolidation,3855.958004,0
51230805,7.89,10+ years,Source Verified,01/05/2015,Fully Paid,credit_card,6038.04,0
42682380,16.49,10+ years,Not Verified,01/02/2015,Current,debt_consolidation,12800.43,0
63149252,19.19,2 years,Source Verified,01/09/2015,Current,credit_card,1087.87,0
64802413,6.89,9 years,Source Verified,01/09/2015,Current,debt_consolidation,460.51,0
3556830,13.11,9 years,Verified,01/01/2013,Fully Paid,credit_card,27724.13582,0
59771044,20.99,10+ years,Verified,01/08/2015,Fully Paid,debt_consolidation,21838.74,0
20056525,13.98,10+ years,Verified,01/06/2014,Current,debt_consolidation,20920.33,0
11697263,9.67,,Verified,01/12/2013,Fully Paid,debt_consolidation,20298.21324,0
39111709,19.24,,Verified,01/12/2014,Current,debt_consolidation,4677.17,0
72696910,14.48,8 years,Not Verified,01/12/2015,Current,home_improvement,681.57,0
70610385,19.99,8 years,Source Verified,01/11/2015,Current,debt_consolidation,761.33,0
67742124,7.89,10+ years,Not Verified,01/10/2015,Current,debt_consolidation,1449.22,0
35825194,11.67,1 year,Verified,01/11/2014,Current,credit_card,4618.26,0
7937660,17.56,10+ years,Source Verified,01/08/2013,Fully Paid,debt_consolidation,16617.45411,0
12517667,13.53,4 years,Verified,01/01/2014,Current,credit_card,24444,0
66543296,10.99,8 years,Not Verified,01/10/2015,Current,debt_consolidation,857.29,0
40996232,16.49,10+ years,Source Verified,01/01/2015,Current,debt_consolidation,3320.3,0
56801828,7.89,6 years,Source Verified,01/07/2015,Current,credit_card,5243.73,0
43396012,14.31,10+ years,Source Verified,01/02/2015,Current,debt_consolidation,5188.19,0
1290787,14.27,2 years,Not Verified,01/12/2011,Fully Paid,small_business,7485.82,0
56792459,12.29,,Verified,01/07/2015,Current,home_improvement,3370.5,0
30735618,10.15,9 years,Source Verified,01/10/2014,Current,home_improvement,13581.9,0
33860058,17.57,5 years,Verified,01/10/2014,Current,debt_consolidation,8804.37,0
70669909,7.89,7 years,Source Verified,01/12/2015,Current,credit_card,0,0
62119693,7.89,,Not Verified,01/08/2015,Current,small_business,1871.89,0
61944112,16.99,10+ years,Verified,01/08/2015,Current,debt_consolidation,4924.65,0
35412906,8.39,10+ years,Not Verified,01/10/2014,Fully Paid,credit_card,10548.81,0
7649024,6.03,3 years,Verified,01/07/2013,Current,debt_consolidation,4564.7,0
6339738,15.31,9 years,Verified,01/05/2013,Current,credit_card,15576.16,0
662623,12.73,9 years,Not Verified,01/05/2010,Fully Paid,car,7245.4,0
72837626,13.67,4 years,Source Verified,01/12/2015,Issued,debt_consolidation,0,0
72157003,13.18,,Verified,01/12/2015,Current,debt_consolidation,158.35,0
56036083,9.17,< 1 year,Verified,01/06/2015,Current,debt_consolidation,6664.02,0
16730872,18.25,2 years,Source Verified,01/04/2014,Current,credit_card,5568.8,0
47157342,9.17,< 1 year,Source Verified,01/03/2015,Current,debt_consolidation,6861.45,0
71361596,13.67,< 1 year,Source Verified,01/12/2015,Current,debt_consolidation,0,0
36995728,7.49,< 1 year,Source Verified,01/11/2014,Current,credit_card,10440.17,0
19615934,13.35,10+ years,Not Verified,01/05/2014,Fully Paid,debt_consolidation,8068.64,0
8117498,6.62,5 years,Verified,01/08/2013,Fully Paid,debt_consolidation,25068.42714,0
3863609,23.63,5 years,Verified,01/02/2013,Current,debt_consolidation,18196.37,0
54945827,18.25,2 years,Source Verified,01/07/2015,Current,debt_consolidation,1947.7,0
53796496,5.32,10+ years,Source Verified,01/06/2015,Current,credit_card,1684.08,0
667821,14.22,10+ years,Not Verified,01/05/2010,Charged Off,medical,597.75,0
11994773,16.24,1 year,Verified,01/01/2014,Current,other,4063.84,0
12012452,15.61,3 years,Source Verified,01/01/2014,Current,debt_consolidation,18517.68,0
62279883,11.53,1 year,Source Verified,01/08/2015,Current,debt_consolidation,787.96,0
43226444,7.49,5 years,Source Verified,01/02/2015,Fully Paid,credit_card,12257.89,0
41391832,10.49,4 years,Source Verified,01/01/2015,Fully Paid,debt_consolidation,6381.33,0
69546439,26.77,< 1 year,Verified,01/12/2015,Current,other,385.31,0
10799506,15.1,10+ years,Source Verified,01/11/2013,Fully Paid,vacation,3240.99,0
51875375,7.89,10+ years,Source Verified,01/05/2015,Current,medical,881.3,0
18484514,13.98,10+ years,Verified,01/05/2014,Current,debt_consolidation,5744.84,0
52184973,15.61,2 years,Source Verified,01/06/2015,Current,other,1244.64,0
59731631,14.65,1 year,Verified,01/08/2015,Current,credit_card,2156.87,0
42253673,11.44,10+ years,Verified,01/01/2015,Current,credit_card,4134.72,0
11026717,9.67,3 years,Not Verified,01/12/2013,Current,debt_consolidation,6422.5,0
62755156,7.26,4 years,Source Verified,01/08/2015,Current,debt_consolidation,3079.47,0
1972415,15.31,5 years,Not Verified,01/11/2012,Fully Paid,debt_consolidation,9051.87,0
1357532,12.69,10+ years,Source Verified,01/02/2012,Fully Paid,credit_card,12869.29,0
57535983,7.26,1 year,Not Verified,01/07/2015,Current,credit_card,925.91,0
407563,12.84,< 1 year,Not Verified,01/03/2009,Fully Paid,debt_consolidation,12102.26,0
