,member_id,interest_rate,emp_length,verification_status,issue_date,loan_status,purpose,total_pymnt,recoveries
,41358639,17.14,10+ years,Verified,1/01/2015,Current,credit_card,4098.84,0
,890511,11.11,1 year,Source Verified,1/03/2011,,other,700.63,145.31
,60717757,14.65,10+ years,Source Verified,1/08/2015,Current,credit_card,4074.23,0
,12508139,12.85,10+ years,Verified,1/01/2014,Current,debt_consolidation,12164.27,0
,37105933,17.14,3 years,Verified,1/11/2014,Current,debt_consolidation,4098.21,0
,60294064,13.33,10+ years,Source Verified,1/08/2015,Current,debt_consolidation,838.94,0
,11728745,23.7,7 years,Verified,1/12/2013,Fully Paid,debt_consolidation,22688.71783,0
,13918188,18.25,8 years,Source Verified,1/02/2014,Fully Paid,debt_consolidation,19012.63,0
,18615009,16.29,10+ years,Verified,1/05/2014,Charged Off,debt_consolidation,6218.56,0
,61466177,12.29,6 years,Not Verified,1/08/2015,Current,major_purchase,1587.62,0
,10401782,18.55,5 years,Verified,1/11/2013,Current,home_improvement,11881.55,0
,11386781,12.85,10+ years,Source Verified,1/12/2013,Current,credit_card,6818,0
,7223123,16.29,10+ years,Verified,1/06/2013,Current,debt_consolidation,16944.3,0
,871393,13.43,5 years,Source Verified,1/02/2011,Fully Paid,other,2560.686097,0
,1231263,7.9,< 1 year,Source Verified,1/10/2011,Fully Paid,small_business,9011.458271,0
,70730298,12.59,10+ years,Source Verified,1/12/2015,Current,debt_consolidation,764.56,0
,9637161,15.61,10+ years,Source Verified,1/10/2013,Current,credit_card,5454.18,0
,56268720,22.99,1 year,Verified,1/07/2015,Current,debt_consolidation,4330.44,0
,1439252,7.9,7 years,Source Verified,1/03/2012,Fully Paid,debt_consolidation,10985.95808,0
,53593211,12.69,10+ years,Not Verified,1/05/2015,Current,debt_consolidation,2991.7,0
,67879031,7.89,,Verified,1/11/2015,Current,credit_card,296.15,0
,67860293,9.17,1 year,Source Verified,1/10/2015,Current,debt_consolidation,645.22,0
,46911132,8.18,5 years,Not Verified,1/04/2015,Current,debt_consolidation,6775.72,0
,61764833,16.55,3 years,Verified,1/09/2015,Current,medical,1408.01,0
,71330926,10.64,2 years,Verified,1/12/2015,Current,debt_consolidation,627.73,0
,33228888,13.35,10+ years,Source Verified,1/10/2014,Current,debt_consolidation,4722.28,0
,11039541,18.55,9 years,Verified,1/12/2013,Charged Off,credit_card,3372.86,1317.34
,32307939,10.15,8 years,Source Verified,1/10/2014,Current,debt_consolidation,9690.12,0
,46952274,8.18,3 years,Verified,1/04/2015,Current,credit_card,2815.31,0
,9052356,11.99,10+ years,Verified,1/09/2013,Current,debt_consolidation,14346.56,0
,19895707,7.12%,6 years,Source Verified,1/05/2014,Current,debt_consolidation,8815.62,0
,59572599,12.69,5 years,Source Verified,1/08/2015,Current,debt_consolidation,2787.54,0
,2927740,7.9,5 years,Not Verified,1/12/2012,Fully Paid,debt_consolidation,6392.563946,0
,15088149,11.99,2 years,Verified,1/04/2014,Charged Off,major_purchase,4471.88,2985.71
,2740709,16.29,< 1 year,Verified,1/01/2013,Current,debt_consolidation,22398.11,0
,8071942,14.33,1 year,Not Verified,1/08/2013,Fully Paid,home_improvement,13920.98744,0
,1553238,13.67,10+ years,Not Verified,1/06/2012,Fully Paid,credit_card,16907.16,0
,15369553,8.9,3 years,Source Verified,1/04/2014,Current,debt_consolidation,6668.34,0
,6817154,17.27,7 years,Source Verified,1/05/2013,Current,,15498.76,0
,2840988,8.9,1 year,Verified,1/12/2012,Fully Paid,credit_card,13207.22,0
,4596641,17.27,8 years,Verified,1/03/2013,In Grace Period,debt_consolidation,36315.18,0
,10751548,21.7,6 years,Source Verified,1/11/2013,Fully Paid,debt_consolidation,41047.10984,0
,64874430,15.61,2 years,Not Verified,1/10/2015,Current,debt_consolidation,1753.74,0
,70719946,13.67,,Not Verified,1/12/2015,Current,credit_card,352.16,0
,31206630,24.08,1 year,Source Verified,1/10/2014,Current,debt_consolidation,8233.8,0
,26228303,14.49,5 years,Verified,1/08/2014,Current,debt_consolidation,7198.14,0
,10057878,12.99,10+ years,Not Verified,1/11/2013,Current,credit_card,7882.02,0
,47160537,18.84,6 years,Source Verified,1/04/2015,Current,debt_consolidation,3864.1,0
,7650318,16.78,2 years,Not Verified,1/07/2013,Charged Off,debt_consolidation,4175.15,0
,65450258,7.26,4 years,Verified,1/10/2015,Current,debt_consolidation,893.6,0
,53856445,15.61,4 years,Source Verified,1/06/2015,Current,debt_consolidation,2928.27,0
,30214912,11.67,4 years,Not Verified,1/10/2014,Current,debt_consolidation,6932.32,0
,1894619,21,10+ years,Source Verified,1/10/2012,Current,other,23427.01,0
,31537143,12.49,9 years,Not Verified,1/10/2014,Current,debt_consolidation,4276.09,0
,9858659,18.55,,Verified,1/10/2013,Charged Off,debt_consolidation,4427.52,0
,30214318,15.61,,Verified,1/10/2014,Current,credit_card,15734.25,0
,64955987,17.86,10+ years,Verified,1/10/2015,Current,debt_consolidation,887.62,0
,1195779,6.03,10+ years,Not Verified,1/10/2011,Fully Paid,other,6255.3,0
,11919334,16.24,5 years,Source Verified,1/01/2014,Current,credit_card,7830.8,0
