member_id,funded_amnt,interest_rate,emp_length,verification_status,issue_date,loan_status,purpose,total_pymnt,recoveries
61874245,31225,18.25,2 years,Verified,1/8/2015,Current,credit_card,3954.19,0.0
12996755,8000,9.67,10+ years,Not Verified,1/1/2014,Current,credit_card,5908.7,0.0
73313709,9600,11.99%,10+ years,Source Verified,1/12/2015,Issued,debt_consolidation,0.0,0.0
70800970,10000,8.38,1 year,Verified,1/12/2015,Current,debt_consolidation,310.46,0.0
796855,9600,14.46,3 years,Not Verified,1/12/2010,Fully Paid,,12720.58,0.0
48692443,4000,14.65,3 years,Source Verified,1/4/2015,Current,debt_consolidation,1238.56,0.0
49789541,4000,16.55,3 years,Not Verified,1/4/2015,Fully Paid,medical,4089.19,0.0
51835211,16000,13.99,10+ years,Source Verified,1/5/2015,Current,debt_consolidation,2574.38,0.0
32638585,10975,13.35,8 years,Source Verified,1/10/2014,Current,debt_consolidation,5566.61,0.0
28962294,28000,6.03,9 years,Source Verified,1/9/2014,Current,credit_card,13635.2,0.0
60382161,6000,14.65,6 years,Verified,1/8/2015,Current,credit_card,823.0,0.0
13216895,16950,15.61,8 years,Verified,1/1/2014,Current,debt_consolidation,13631.18,0.0
4380180,29700,19.05,4 years,Verified,1/3/2013,Charged Off,debt_consolidation,19110.72,9875.07
51844953,"16,000",12.29,3 years,Source Verified,1/5/2015,Current,debt_consolidation,4247.35,0.0
23312255,3600,8.39,5 years,Not Verified,1/7/2014,Current,credit_card,2042.28,0.0
49674356,8000,13.33,10+ years,Source Verified,1/4/2015,Current,small_business,2160.72,0.0
12418648,21000,8.9,7 years,Verified,1/1/2014,Current,credit_card,15336.44,0.0
6992558,16000,13.11,4 years,Source Verified,1/6/2013,Charged Off,debt_consolidation,11337.72,0.0
1529992,25000,13.67,10+ years,Source Verified,1/5/2012,Fully Paid,debt_consolidation,30595.43312,0.0
63880500,25000,9.99,6 years,Not Verified,1/9/2015,,debt_consolidation,2110.36,0.0
62715102,18000,7.89,2 years,Verified,1/8/2015,Current,credit_card,1479.79,0.0
72648158,17000,9.17,10+ years,Source Verified,1/12/2015,Issued,debt_consolidation,0.0,0.0
5517264,9325,15.31,< 1 year,Not Verified,1/4/2013,,credit_card,10389.06,0.0
781006,4725,6.91,4 years,Not Verified,1/11/2010,Fully Paid,car,5480.17,0.0
22291347,20000,13.98,10+ years,Source Verified,1/7/2014,Current,,8458.84,0.0
70650651,10000,18.49,10+ years,Verified,1/12/2015,Current,debt_consolidation,343.45,0.0
70650227,12000,20.99,3 years,Verified,1/12/2015,Current,credit_card,529.0,0.0
11638679,11400,10.99,10+ years,Source Verified,1/12/2013,Fully Paid,credit_card,8955.96,0.0
12287092,13750,19.22,2 years,Source Verified,1/1/2014,Current,small_business,8600.38,0.0
8596884,25000,16.2,4 years,Verified,1/11/2013,Current,debt_consolidation,15876.0,0.0
9051577,20000,13.67,10+ years,Verified,1/11/2013,Fully Paid,debt_consolidation,22380.2952,0.0
65590875,32000,12.69,6 years,Source Verified,1/10/2015,,credit_card,2112.72,0.0
64835119,10000,5.32,10+ years,Not Verified,1/10/2015,Current,home_improvement,897.54,0.0
1049752,20000,20.49,2 years,Verified,1/8/2012,Fully Paid,debt_consolidation,26931.81904,0.0
49822898,3000,13.99,1 year,Not Verified,1/4/2015,Current,major_purchase,815.5,0.0
34691443,13000,14.49,10+ years,Not Verified,1/10/2014,Charged Off,debt_consolidation,5063.17,2389.17
9898916,6625,12.99,7 years,Not Verified,1/10/2013,Charged Off,debt_consolidation,4091.49,743.49
38801076,2100,15.59,10+ years,Not Verified,1/12/2014,Current,home_improvement,952.51,0.0
47993833,4500,6.68,2 years,Source Verified,1/4/2015,Current,car,1241.27,0.0
67790221,20000,17.86,4 years,Source Verified,1/10/2015,Current,credit_card,992.86,0.0
46577190,9000,11.53,< 1 year,Source Verified,1/3/2015,Current,debt_consolidation,2666.52,0.0
70101387,10000,10.99,10+ years,Verified,1/11/2015,Current,debt_consolidation,642.47,0.0
23313543,8000,14.99,< 1 year,Not Verified,1/7/2014,Current,debt_consolidation,4995.98,0.0
1731098,5250,11.14,10+ years,Verified,1/8/2012,Fully Paid,debt_consolidation,6200.012341,0.0
11517304,8000,8.9,< 1 year,Not Verified,1/12/2013,Charged Off,credit_card,2284.85,968.73
