member_id,loan_amnt,funded_amnt,term,interest_rate,grade,sub_grade,emp_length,home_ownership,annual_income,verification_status,issue_date,loan_status,purpose,addr_state,total_pymnt,last_pymnt_amnt,application_type,recoveries
59529191,5000,5000, 36 months,9.17,B,B2,5 years,OWN,25000,Source Verified,1/07/2015,Current,credit_card,CA,791.91,159.4,INDIVIDUAL,0
39232305,12800,12800, 60 months,17.86,D,D5,9 years,RENT,32500,Source Verified,1/12/2014,Charged Off,debt_consolidation,CA,635.44,324.07,INDIVIDUAL,0
13197380,7700,7700, 36 months,8.9,A,A5,7 years,RENT,43000,Source Verified,1/01/2014,Current,debt_consolidation,CO,5623.5,244.5,INDIVIDUAL,0
9032445,7200,7200, 36 months,9.99,B,B1,10+ years,RENT,34415,Not Verified,1/10/2013,Current,debt_consolidation,MD,6269.79,232.29,INDIVIDUAL,0
64254058,10000,10000, 36 months,11.53,B,B5,3 years,MORTGAGE,50000.4,Source Verified,1/09/2015,Current,home_improvement,CA,1287.6,329.91,INDIVIDUAL,0
1737802,3600,3600, 36 months,16.29,C,C4,< 1 year,RENT,48000,Source Verified,1/08/2012,Fully Paid,credit_card,TX,4543.516847,812.33,INDIVIDUAL,0
49985010,19000,19000, 60 months,13.99,C,C4,< 1 year,RENT,52530,Source Verified,1/04/2015,Current,credit_card,VA,3521.23,442,INDIVIDUAL,0
70377113,12000,12000, 36 months,7.89,A,A5,2 years,MORTGAGE,65000,Verified,1/11/2015,Current,credit_card,DE,370.17,375.43,INDIVIDUAL,0
14888582,20000,20000, 36 months,11.99,B,B3,10+ years,RENT,72000,Source Verified,1/03/2014,Current,credit_card,CA,17112.4,664.2,INDIVIDUAL,0
66543296,20000,20000, 60 months,10.99,B,B4,8 years,MORTGAGE,63000,Not Verified,1/10/2015,Current,debt_consolidation,IL,857.29,434.75,INDIVIDUAL,0
720030,6000,"$6,000", 36 months,13.61,C,C2,3 years,MORTGAGE,34800,Not Verified,1/08/2010,Does not meet the credit policy. Status:Fully Paid,debt_consolidation,IL,7292.13,1389.94,INDIVIDUAL,0
40574873,20400,20400, 36 months,6.49,A,A2,< 1 year,RENT,155000,Source Verified,1/01/2015,Current,debt_consolidation,TX,7487.09,625.15,INDIVIDUAL,0
375137,3600,3600, 36 months,10.51,B,B2,7 years,MORTGAGE,52000,Not Verified,1/11/2008,Fully Paid,credit_card,MI,3990.96,2354.53,INDIVIDUAL,0
10421548,35000,35000, 60 months,17.76,D,D1,10+ years,MORTGAGE,101000,Verified,1/11/2013,Fully Paid,small_business,MN,42926.33,12589.5,INDIVIDUAL,0
46952953,4125,4125, 36 months,16.55,D,D2,10+ years,RENT,49000,Not Verified,1/04/2015,,debt_consolidation,NY,1311.56,146.15,INDIVIDUAL,0
70357614,10000,10000, 60 months,8.38,B,B1,4 years,RENT,38000,Source Verified,1/12/2015,Current,credit_card,MA,195.28,204.59,INDIVIDUAL,0
71856153,6000,6000, 36 months,13.18,C,C3,3 years,RENT,41000,Source Verified,1/12/2015,Fully Paid,credit_card,WA,6002.75,6007.14,INDIVIDUAL,0
51903075,28000,28000, 60 months,22.99,F,F1,8 years,RENT,90000,Source Verified,1/05/2015,Current,debt_consolidation,MA,6349.2,789.18,INDIVIDUAL,0
5025971,28000,28000, 60 months,17.27,C,C5,< 1 year,MORTGAGE,75000,Verified,1/04/2013,Fully Paid,credit_card,AZ,34858.31509,22266.52,INDIVIDUAL,0
11206969,15000,15000, 60 months,14.47,C,C2,10+ years,RENT,40000,Verified,1/12/2013,Charged Off,major_purchase,MN,7791.28,352.69,INDIVIDUAL,2151.7
4318903,22500,22500, 60 months,17.27,C,C5,1 year,MORTGAGE,69200,Source Verified,1/03/2013,Fully Paid,debt_consolidation,NY,24690.14,21321.25,INDIVIDUAL,0
1079369,28000,28000, 36 months,9.99,B,B1,4 years,MORTGAGE,124800,Verified,1/09/2011,Fully Paid,credit_card,FL,30577.78,19763.85,INDIVIDUAL,0
50106980,9600,9600, 36 months,13.99,C,C4,10+ years,MORTGAGE,60000,Source Verified,1/04/2015,Current,debt_consolidation,FL,2617.02,328.06,INDIVIDUAL,0
62503596,3375,3375, 36 months,12.29,C,C1,1 year,OWN,30000,Not Verified,1/08/2015,Current,home_improvement,FL,447.98,112.57,INDIVIDUAL,0
